Time used gen_solv: 0.002674
Time used Special_solv: 0.001763
v:                 v_:
   0.0092170918        0.0092170918
   0.0093060617        0.0093060617
   0.0093950217        0.0093950217
   0.0094839718        0.0094839718
    0.009572912         0.009572912
   0.0096618424        0.0096618424
   0.0097507628        0.0097507628
   0.0098396734        0.0098396734
    0.009928574         0.009928574
    0.010017465         0.010017465
    0.010106346         0.010106346
    0.010195217         0.010195217
    0.010284078         0.010284078
    0.010372929         0.010372929
     0.01046177          0.01046177
    0.010550602         0.010550602
    0.010639423         0.010639423
    0.010728235         0.010728235
    0.010817037         0.010817037
    0.010905829         0.010905829
    0.010994611         0.010994611
    0.011083383         0.011083383
    0.011172145         0.011172145
    0.011260898         0.011260898
     0.01134964          0.01134964
    0.011438373         0.011438373
    0.011527096         0.011527096
    0.011615809         0.011615809
    0.011704512         0.011704512
    0.011793205         0.011793205
    0.011881888         0.011881888
    0.011970562         0.011970562
    0.012059225         0.012059225
    0.012147879         0.012147879
    0.012236523         0.012236523
    0.012325157         0.012325157
    0.012413781         0.012413781
    0.012502395         0.012502395
       0.012591            0.012591
    0.012679594         0.012679594
    0.012768179         0.012768179
    0.012856754         0.012856754
    0.012945319         0.012945319
    0.013033874         0.013033874
    0.013122419         0.013122419
    0.013210954         0.013210954
     0.01329948          0.01329948
    0.013387996         0.013387996
    0.013476502         0.013476502
    0.013564998         0.013564998
    0.013653484         0.013653484
     0.01374196          0.01374196
    0.013830426         0.013830426
    0.013918883         0.013918883
     0.01400733          0.01400733
    0.014095767         0.014095767
    0.014184194         0.014184194
    0.014272611         0.014272611
    0.014361019         0.014361019
    0.014449416         0.014449416
    0.014537804         0.014537804
    0.014626182         0.014626182
     0.01471455          0.01471455
    0.014802908         0.014802908
    0.014891256         0.014891256
    0.014979595         0.014979595
    0.015067924         0.015067924
    0.015156242         0.015156242
    0.015244551         0.015244551
    0.015332851         0.015332851
     0.01542114          0.01542114
     0.01550942          0.01550942
    0.015597689         0.015597689
    0.015685949         0.015685949
    0.015774199         0.015774199
     0.01586244          0.01586244
     0.01595067          0.01595067
    0.016038891         0.016038891
    0.016127101         0.016127101
    0.016215302         0.016215302
    0.016303493         0.016303493
    0.016391675         0.016391675
    0.016479846         0.016479846
    0.016568008         0.016568008
     0.01665616          0.01665616
    0.016744302         0.016744302
    0.016832434         0.016832434
    0.016920557         0.016920557
    0.017008669         0.017008669
    0.017096772         0.017096772
    0.017184865         0.017184865
    0.017272948         0.017272948
    0.017361022         0.017361022
    0.017449085         0.017449085
    0.017537139         0.017537139
    0.017625183         0.017625183
    0.017713217         0.017713217
    0.017801241         0.017801241
    0.017889256         0.017889256
    0.017977261         0.017977261
    0.018065256         0.018065256
    0.018153241         0.018153241
    0.018241216         0.018241216
    0.018329182         0.018329182
    0.018417138         0.018417138
    0.018505084         0.018505084
     0.01859302          0.01859302
    0.018680946         0.018680946
    0.018768863         0.018768863
     0.01885677          0.01885677
    0.018944667         0.018944667
    0.019032554         0.019032554
    0.019120431         0.019120431
    0.019208299         0.019208299
    0.019296157         0.019296157
    0.019384005         0.019384005
    0.019471843         0.019471843
    0.019559672         0.019559672
     0.01964749          0.01964749
    0.019735299         0.019735299
    0.019823098         0.019823098
    0.019910888         0.019910888
    0.019998667         0.019998667
    0.020086437         0.020086437
    0.020174197         0.020174197
    0.020261948         0.020261948
    0.020349688         0.020349688
    0.020437419         0.020437419
     0.02052514          0.02052514
    0.020612851         0.020612851
    0.020700552         0.020700552
    0.020788244         0.020788244
    0.020875926         0.020875926
    0.020963598         0.020963598
     0.02105126          0.02105126
    0.021138913         0.021138913
    0.021226556         0.021226556
    0.021314189         0.021314189
    0.021401812         0.021401812
    0.021489426         0.021489426
    0.021577029         0.021577029
    0.021664623         0.021664623
    0.021752208         0.021752208
    0.021839782         0.021839782
    0.021927347         0.021927347
    0.022014902         0.022014902
    0.022102447         0.022102447
    0.022189983         0.022189983
    0.022277508         0.022277508
    0.022365024         0.022365024
    0.022452531         0.022452531
    0.022540027         0.022540027
    0.022627514         0.022627514
    0.022714991         0.022714991
    0.022802458         0.022802458
    0.022889915         0.022889915
    0.022977363         0.022977363
    0.023064801         0.023064801
    0.023152229         0.023152229
    0.023239648         0.023239648
    0.023327057         0.023327057
    0.023414456         0.023414456
    0.023501845         0.023501845
    0.023589224         0.023589224
    0.023676594         0.023676594
    0.023763954         0.023763954
    0.023851305         0.023851305
    0.023938645         0.023938645
    0.024025976         0.024025976
    0.024113297         0.024113297
    0.024200609         0.024200609
     0.02428791          0.02428791
    0.024375202         0.024375202
    0.024462484         0.024462484
    0.024549757         0.024549757
     0.02463702          0.02463702
    0.024724273         0.024724273
    0.024811516         0.024811516
     0.02489875          0.02489875
    0.024985973         0.024985973
    0.025073188         0.025073188
    0.025160392         0.025160392
    0.025247587         0.025247587
    0.025334772         0.025334772
    0.025421947         0.025421947
    0.025509113         0.025509113
    0.025596268         0.025596268
    0.025683414         0.025683414
    0.025770551         0.025770551
    0.025857678         0.025857678
    0.025944795         0.025944795
    0.026031902         0.026031902
    0.026118999         0.026118999
    0.026206087         0.026206087
    0.026293165         0.026293165
    0.026380234         0.026380234
    0.026467292         0.026467292
    0.026554341         0.026554341
    0.026641381         0.026641381
     0.02672841          0.02672841
     0.02681543          0.02681543
    0.026902441         0.026902441
    0.026989441         0.026989441
    0.027076432         0.027076432
    0.027163413         0.027163413
    0.027250384         0.027250384
    0.027337346         0.027337346
    0.027424298         0.027424298
     0.02751124          0.02751124
    0.027598173         0.027598173
    0.027685096         0.027685096
    0.027772009         0.027772009
    0.027858913         0.027858913
    0.027945807         0.027945807
    0.028032691         0.028032691
    0.028119565         0.028119565
     0.02820643          0.02820643
    0.028293285         0.028293285
    0.028380131         0.028380131
    0.028466966         0.028466966
    0.028553792         0.028553793
    0.028640609         0.028640609
    0.028727416         0.028727416
    0.028814213         0.028814213
       0.028901            0.028901
    0.028987778         0.028987778
    0.029074546         0.029074546
    0.029161304         0.029161304
    0.029248053         0.029248053
    0.029334792         0.029334792
    0.029421521         0.029421521
     0.02950824          0.02950824
     0.02959495          0.02959495
    0.029681651         0.029681651
    0.029768341         0.029768341
    0.029855022         0.029855022
    0.029941693         0.029941693
    0.030028355         0.030028355
    0.030115007         0.030115007
    0.030201649         0.030201649
    0.030288282         0.030288282
    0.030374905         0.030374905
    0.030461518         0.030461518
    0.030548122         0.030548122
    0.030634716         0.030634716
      0.0307213           0.0307213
    0.030807875         0.030807875
     0.03089444          0.03089444
    0.030980995         0.030980995
    0.031067541         0.031067541
    0.031154077         0.031154077
    0.031240603         0.031240603
     0.03132712          0.03132712
    0.031413627         0.031413627
    0.031500124         0.031500124
    0.031586612         0.031586612
     0.03167309          0.03167309
    0.031759559         0.031759559
    0.031846017         0.031846017
    0.031932467         0.031932467
    0.032018906         0.032018906
    0.032105336         0.032105336
    0.032191756         0.032191756
    0.032278167         0.032278167
    0.032364568         0.032364568
    0.032450959         0.032450959
    0.032537341         0.032537341
    0.032623713         0.032623713
    0.032710075         0.032710075
    0.032796428         0.032796428
    0.032882771         0.032882771
    0.032969105         0.032969105
    0.033055429         0.033055429
    0.033141743         0.033141743
    0.033228048         0.033228048
    0.033314343         0.033314343
    0.033400628         0.033400628
    0.033486904         0.033486904
     0.03357317          0.03357317
    0.033659426         0.033659426
    0.033745673         0.033745673
     0.03383191          0.03383191
    0.033918138         0.033918138
    0.034004356         0.034004356
    0.034090564         0.034090564
    0.034176763         0.034176763
    0.034262952         0.034262952
    0.034349132         0.034349132
    0.034435302         0.034435302
    0.034521462         0.034521462
    0.034607613         0.034607613
    0.034693754         0.034693754
    0.034779885         0.034779885
    0.034866007         0.034866007
    0.034952119         0.034952119
    0.035038222         0.035038222
    0.035124315         0.035124315
    0.035210398         0.035210398
    0.035296472         0.035296472
    0.035382536         0.035382536
    0.035468591         0.035468591
    0.035554636         0.035554636
    0.035640671         0.035640671
    0.035726697         0.035726697
    0.035812713         0.035812713
    0.035898719         0.035898719
    0.035984716         0.035984716
    0.036070704         0.036070704
    0.036156681         0.036156681
     0.03624265          0.03624265
    0.036328608         0.036328608
    0.036414557         0.036414557
    0.036500496         0.036500496
    0.036586426         0.036586426
    0.036672346         0.036672346
    0.036758257         0.036758257
    0.036844158         0.036844158
    0.036930049         0.036930049
    0.037015931         0.037015931
    0.037101803         0.037101803
    0.037187666         0.037187666
    0.037273519         0.037273519
    0.037359363         0.037359363
    0.037445196         0.037445196
    0.037531021         0.037531021
    0.037616836         0.037616836
    0.037702641         0.037702641
    0.037788436         0.037788436
    0.037874222         0.037874222
    0.037959999         0.037959999
    0.038045765         0.038045765
    0.038131523         0.038131523
     0.03821727          0.03821727
    0.038303008         0.038303008
    0.038388737         0.038388737
    0.038474456         0.038474456
    0.038560165         0.038560165
    0.038645865         0.038645865
    0.038731555         0.038731555
    0.038817236         0.038817236
    0.038902907         0.038902907
    0.038988569         0.038988569
    0.039074221         0.039074221
    0.039159863         0.039159863
    0.039245496         0.039245496
    0.039331119         0.039331119
    0.039416733         0.039416733
    0.039502337         0.039502337
    0.039587932         0.039587932
    0.039673517         0.039673517
    0.039759092         0.039759092
    0.039844658         0.039844658
    0.039930215         0.039930215
    0.040015762         0.040015762
    0.040101299         0.040101299
    0.040186827         0.040186827
    0.040272345         0.040272345
    0.040357853         0.040357853
    0.040443352         0.040443352
    0.040528842         0.040528842
    0.040614322         0.040614322
    0.040699792         0.040699792
    0.040785253         0.040785253
    0.040870704         0.040870704
    0.040956146         0.040956146
    0.041041578         0.041041578
    0.041127001         0.041127001
    0.041212414         0.041212414
    0.041297818         0.041297818
    0.041383212         0.041383212
    0.041468597         0.041468597
    0.041553972         0.041553972
    0.041639337         0.041639337
    0.041724693         0.041724693
    0.041810039         0.041810039
    0.041895376         0.041895376
    0.041980704         0.041980704
    0.042066021         0.042066021
     0.04215133          0.04215133
    0.042236628         0.042236628
    0.042321917         0.042321917
    0.042407197         0.042407197
    0.042492467         0.042492467
    0.042577728         0.042577728
    0.042662979         0.042662979
    0.042748221         0.042748221
    0.042833453         0.042833453
    0.042918675         0.042918675
    0.043003888         0.043003888
    0.043089092         0.043089092
    0.043174286         0.043174286
     0.04325947          0.04325947
    0.043344645         0.043344645
     0.04342981          0.04342981
    0.043514966         0.043514966
    0.043600113         0.043600113
    0.043685249          0.04368525
    0.043770377         0.043770377
    0.043855495         0.043855495
    0.043940603         0.043940603
    0.044025702         0.044025702
    0.044110791         0.044110791
    0.044195871         0.044195871
    0.044280941         0.044280941
    0.044366002         0.044366002
    0.044451053         0.044451053
    0.044536095         0.044536095
    0.044621127         0.044621127
     0.04470615          0.04470615
    0.044791163         0.044791163
    0.044876167         0.044876167
    0.044961161         0.044961161
    0.045046146         0.045046146
    0.045131121         0.045131121
    0.045216087         0.045216087
    0.045301043         0.045301043
     0.04538599          0.04538599
    0.045470928         0.045470928
    0.045555855         0.045555855
    0.045640774         0.045640774
    0.045725682         0.045725682
    0.045810582         0.045810582
    0.045895472         0.045895472
    0.045980352         0.045980352
    0.046065223         0.046065223
    0.046150084         0.046150084
    0.046234936         0.046234936
    0.046319778         0.046319778
    0.046404611         0.046404611
    0.046489435         0.046489435
    0.046574249         0.046574249
    0.046659053         0.046659053
    0.046743848         0.046743848
    0.046828634         0.046828634
     0.04691341          0.04691341
    0.046998176         0.046998176
    0.047082933         0.047082933
    0.047167681         0.047167681
    0.047252419         0.047252419
    0.047337148         0.047337148
    0.047421867         0.047421867
    0.047506577         0.047506577
    0.047591277         0.047591277
    0.047675968         0.047675968
    0.047760649         0.047760649
    0.047845321         0.047845321
    0.047929983         0.047929983
    0.048014636         0.048014636
     0.04809928          0.04809928
    0.048183914         0.048183914
    0.048268538         0.048268538
    0.048353153         0.048353153
    0.048437759         0.048437759
    0.048522355         0.048522355
    0.048606942         0.048606942
    0.048691519         0.048691519
    0.048776086         0.048776087
    0.048860645         0.048860645
    0.048945194         0.048945194
    0.049029733         0.049029733
    0.049114263         0.049114263
    0.049198783         0.049198783
    0.049283295         0.049283295
    0.049367796         0.049367796
    0.049452288         0.049452288
    0.049536771         0.049536771
    0.049621244         0.049621244
    0.049705708         0.049705708
    0.049790162         0.049790162
    0.049874607         0.049874607
    0.049959043         0.049959043
    0.050043469         0.050043469
    0.050127885         0.050127885
    0.050212292         0.050212292
     0.05029669          0.05029669
    0.050381078         0.050381078
    0.050465457         0.050465457
    0.050549827         0.050549827
    0.050634186         0.050634186
    0.050718537         0.050718537
    0.050802878         0.050802878
     0.05088721          0.05088721
    0.050971532         0.050971532
    0.051055845         0.051055845
    0.051140148         0.051140148
    0.051224442         0.051224442
    0.051308726         0.051308726
    0.051393001         0.051393001
    0.051477267         0.051477267
    0.051561523         0.051561523
     0.05164577          0.05164577
    0.051730007         0.051730007
    0.051814235         0.051814235
    0.051898454         0.051898454
    0.051982663         0.051982663
    0.052066863         0.052066863
    0.052151053         0.052151053
    0.052235234         0.052235234
    0.052319405         0.052319405
    0.052403567         0.052403567
     0.05248772          0.05248772
    0.052571863         0.052571863
    0.052655997         0.052655997
    0.052740121         0.052740121
    0.052824236         0.052824236
    0.052908341         0.052908341
    0.052992438         0.052992438
    0.053076524         0.053076524
    0.053160602         0.053160602
    0.053244669         0.053244669
    0.053328728         0.053328728
    0.053412777         0.053412777
    0.053496817         0.053496817
    0.053580847         0.053580847
    0.053664868         0.053664868
    0.053748879         0.053748879
    0.053832881         0.053832881
    0.053916874         0.053916874
    0.054000857         0.054000857
    0.054084831         0.054084831
    0.054168796         0.054168796
    0.054252751         0.054252751
    0.054336696         0.054336696
    0.054420633         0.054420633
    0.054504559         0.054504559
    0.054588477         0.054588477
    0.054672385         0.054672385
    0.054756284         0.054756284
    0.054840173         0.054840173
    0.054924053         0.054924053
    0.055007924         0.055007924
    0.055091785         0.055091785
    0.055175637         0.055175637
    0.055259479         0.055259479
    0.055343312         0.055343312
    0.055427136         0.055427136
     0.05551095          0.05551095
    0.055594755         0.055594755
     0.05567855          0.05567855
    0.055762336         0.055762336
    0.055846113         0.055846113
     0.05592988          0.05592988
    0.056013638         0.056013638
    0.056097387         0.056097387
    0.056181126         0.056181126
    0.056264856         0.056264856
    0.056348576         0.056348576
    0.056432288         0.056432288
    0.056515989         0.056515989
    0.056599682         0.056599682
    0.056683365         0.056683365
    0.056767038         0.056767038
    0.056850703         0.056850703
    0.056934357         0.056934357
    0.057018003         0.057018003
    0.057101639         0.057101639
    0.057185266         0.057185266
    0.057268883         0.057268883
    0.057352492         0.057352492
     0.05743609          0.05743609
     0.05751968          0.05751968
     0.05760326          0.05760326
     0.05768683          0.05768683
    0.057770392         0.057770392
    0.057853944         0.057853944
    0.057937486         0.057937486
    0.058021019         0.058021019
    0.058104543         0.058104543
    0.058188058         0.058188058
    0.058271563         0.058271563
    0.058355059         0.058355059
    0.058438545         0.058438545
    0.058522022         0.058522022
     0.05860549          0.05860549
    0.058688949         0.058688949
    0.058772398         0.058772398
    0.058855837         0.058855837
    0.058939268         0.058939268
    0.059022689         0.059022689
    0.059106101         0.059106101
    0.059189503         0.059189503
    0.059272896         0.059272896
     0.05935628          0.05935628
    0.059439654         0.059439654
    0.059523019         0.059523019
    0.059606375         0.059606375
    0.059689721         0.059689721
    0.059773058         0.059773058
    0.059856386         0.059856386
    0.059939704         0.059939704
    0.060023013         0.060023013
    0.060106313         0.060106313
    0.060189603         0.060189603
    0.060272884         0.060272884
    0.060356156         0.060356156
    0.060439418         0.060439418
    0.060522671         0.060522671
    0.060605915         0.060605915
     0.06068915          0.06068915
    0.060772375         0.060772375
     0.06085559          0.06085559
    0.060938797         0.060938797
    0.061021994         0.061021994
    0.061105182         0.061105182
     0.06118836          0.06118836
    0.061271529         0.061271529
    0.061354689         0.061354689
     0.06143784          0.06143784
    0.061520981         0.061520981
    0.061604113         0.061604113
    0.061687236         0.061687236
    0.061770349         0.061770349
    0.061853453         0.061853453
    0.061936547         0.061936547
    0.062019633         0.062019633
    0.062102709         0.062102709
    0.062185776         0.062185776
    0.062268833         0.062268833
    0.062351881         0.062351881
     0.06243492          0.06243492
    0.062517949          0.06251795
     0.06260097          0.06260097
    0.062683981         0.062683981
    0.062766982         0.062766982
    0.062849975         0.062849975
    0.062932958         0.062932958
    0.063015931         0.063015931
    0.063098896         0.063098896
    0.063181851         0.063181851
    0.063264797         0.063264797
    0.063347733         0.063347733
     0.06343066          0.06343066
    0.063513578         0.063513578
    0.063596487         0.063596487
    0.063679386         0.063679386
    0.063762277         0.063762277
    0.063845157         0.063845157
    0.063928029         0.063928029
    0.064010891         0.064010891
    0.064093744         0.064093744
    0.064176588         0.064176588
    0.064259422         0.064259422
    0.064342247         0.064342247
    0.064425063         0.064425063
    0.064507869         0.064507869
    0.064590667         0.064590667
    0.064673455         0.064673455
    0.064756233         0.064756233
    0.064839003         0.064839003
    0.064921763         0.064921763
    0.065004514         0.065004514
    0.065087255         0.065087255
    0.065169988         0.065169988
    0.065252711         0.065252711
    0.065335424         0.065335424
    0.065418129         0.065418129
    0.065500824         0.065500824
     0.06558351          0.06558351
    0.065666187         0.065666187
    0.065748854         0.065748854
    0.065831512         0.065831512
    0.065914161         0.065914161
    0.065996801         0.065996801
    0.066079431         0.066079431
    0.066162052         0.066162052
    0.066244664         0.066244664
    0.066327267         0.066327267
     0.06640986          0.06640986
    0.066492444         0.066492444
    0.066575019         0.066575019
    0.066657584         0.066657584
    0.066740141         0.066740141
    0.066822688         0.066822688
    0.066905225         0.066905225
    0.066987754         0.066987754
    0.067070273         0.067070273
    0.067152783         0.067152783
    0.067235284         0.067235284
    0.067317776         0.067317776
    0.067400258         0.067400258
    0.067482731         0.067482731
    0.067565195         0.067565195
    0.067647649         0.067647649
    0.067730094         0.067730094
     0.06781253          0.06781253
    0.067894957         0.067894957
    0.067977375         0.067977375
    0.068059783         0.068059783
    0.068142182         0.068142182
    0.068224572         0.068224572
    0.068306953         0.068306953
    0.068389324         0.068389324
    0.068471686         0.068471686
    0.068554039         0.068554039
    0.068636383         0.068636383
    0.068718717         0.068718717
    0.068801042         0.068801042
    0.068883358         0.068883358
    0.068965665         0.068965665
    0.069047962         0.069047962
    0.069130251         0.069130251
     0.06921253          0.06921253
      0.0692948           0.0692948
     0.06937706          0.06937706
    0.069459312         0.069459312
    0.069541554         0.069541554
    0.069623787         0.069623787
     0.06970601          0.06970601
    0.069788225         0.069788225
     0.06987043          0.06987043
    0.069952626         0.069952626
    0.070034813         0.070034813
     0.07011699          0.07011699
    0.070199159         0.070199159
    0.070281318         0.070281318
    0.070363468         0.070363468
    0.070445609         0.070445609
     0.07052774          0.07052774
    0.070609862         0.070609862
    0.070691975         0.070691975
    0.070774079         0.070774079
    0.070856174         0.070856174
    0.070938259         0.070938259
    0.071020336         0.071020336
    0.071102403         0.071102403
    0.071184461         0.071184461
    0.071266509         0.071266509
    0.071348549         0.071348549
    0.071430579         0.071430579
      0.0715126           0.0715126
    0.071594612         0.071594612
    0.071676614         0.071676614
    0.071758608         0.071758608
    0.071840592         0.071840592
    0.071922567         0.071922567
    0.072004533         0.072004533
    0.072086489         0.072086489
    0.072168437         0.072168437
    0.072250375         0.072250375
    0.072332304         0.072332304
    0.072414224         0.072414224
    0.072496135         0.072496135
    0.072578036         0.072578036
    0.072659928         0.072659928
    0.072741812         0.072741812
    0.072823685         0.072823685
     0.07290555          0.07290555
    0.072987406         0.072987406
    0.073069252         0.073069252
    0.073151089         0.073151089
    0.073232917         0.073232917
    0.073314736         0.073314736
    0.073396546         0.073396546
    0.073478346         0.073478346
    0.073560137         0.073560137
    0.073641919         0.073641919
    0.073723692         0.073723692
    0.073805456         0.073805456
    0.073887211         0.073887211
    0.073968956         0.073968956
    0.074050692         0.074050692
    0.074132419         0.074132419
    0.074214137         0.074214137
    0.074295846         0.074295846
    0.074377545         0.074377545
    0.074459236         0.074459236
    0.074540917         0.074540917
    0.074622589         0.074622589
    0.074704252         0.074704252
    0.074785905         0.074785905
     0.07486755          0.07486755
    0.074949185         0.074949185
    0.075030811         0.075030811
    0.075112428         0.075112428
    0.075194036         0.075194036
    0.075275635         0.075275635
    0.075357224         0.075357224
    0.075438805         0.075438805
    0.075520376         0.075520376
    0.075601938         0.075601938
    0.075683491         0.075683491
    0.075765035         0.075765035
    0.075846569         0.075846569
    0.075928095         0.075928095
    0.076009611         0.076009611
    0.076091118         0.076091118
    0.076172616         0.076172616
    0.076254105         0.076254105
    0.076335585         0.076335585
    0.076417055         0.076417055
    0.076498517         0.076498517
    0.076579969         0.076579969
    0.076661412         0.076661412
    0.076742846         0.076742846
    0.076824271         0.076824271
    0.076905687         0.076905687
    0.076987093         0.076987093
    0.077068491         0.077068491
    0.077149879         0.077149879
    0.077231258         0.077231258
    0.077312628         0.077312628
    0.077393989         0.077393989
    0.077475341         0.077475341
    0.077556683         0.077556683
    0.077638017         0.077638017
    0.077719341         0.077719341
    0.077800656         0.077800656
    0.077881962         0.077881962
    0.077963259         0.077963259
    0.078044547         0.078044547
    0.078125826         0.078125826
    0.078207095         0.078207095
    0.078288356         0.078288356
    0.078369607         0.078369607
    0.078450849         0.078450849
    0.078532082         0.078532082
    0.078613306         0.078613306
    0.078694521         0.078694521
    0.078775727         0.078775727
    0.078856923         0.078856923
    0.078938111         0.078938111
    0.079019289         0.079019289
    0.079100458         0.079100458
    0.079181618         0.079181618
    0.079262769         0.079262769
    0.079343911         0.079343911
    0.079425044         0.079425044
    0.079506167         0.079506167
    0.079587282         0.079587282
    0.079668387         0.079668387
    0.079749484         0.079749484
    0.079830571         0.079830571
    0.079911649         0.079911649
    0.079992718         0.079992718
    0.080073778         0.080073778
    0.080154829         0.080154829
     0.08023587          0.08023587
    0.080316903         0.080316903
    0.080397926         0.080397926
    0.080478941         0.080478941
    0.080559946         0.080559946
    0.080640942         0.080640942
    0.080721929         0.080721929
    0.080802907         0.080802907
    0.080883876         0.080883876
    0.080964836         0.080964836
    0.081045786         0.081045786
    0.081126728         0.081126728
     0.08120766          0.08120766
    0.081288584         0.081288584
    0.081369498         0.081369498
    0.081450403         0.081450403
    0.081531299         0.081531299
    0.081612186         0.081612186
    0.081693064         0.081693064
    0.081773933         0.081773933
    0.081854793         0.081854793
    0.081935644         0.081935644
    0.082016485         0.082016485
    0.082097318         0.082097318
    0.082178141         0.082178141
    0.082258955         0.082258955
    0.082339761         0.082339761
    0.082420557         0.082420557
    0.082501344         0.082501344
    0.082582122         0.082582122
    0.082662891         0.082662891
    0.082743651         0.082743651
    0.082824402         0.082824402
    0.082905143         0.082905143
    0.082985876         0.082985876
      0.0830666           0.0830666
    0.083147314         0.083147314
     0.08322802          0.08322802
    0.083308716         0.083308716
    0.083389403         0.083389403
    0.083470081         0.083470081
    0.083550751         0.083550751
    0.083631411         0.083631411
    0.083712062         0.083712062
    0.083792704         0.083792704
    0.083873337         0.083873337
     0.08395396          0.08395396
    0.084034575         0.084034575
    0.084115181         0.084115181
    0.084195778         0.084195778
    0.084276365         0.084276365
    0.084356944         0.084356944
    0.084437513         0.084437513
    0.084518074         0.084518074
    0.084598625         0.084598625
    0.084679167         0.084679167
    0.084759701         0.084759701
    0.084840225         0.084840225
     0.08492074          0.08492074
    0.085001246         0.085001246
    0.085081743         0.085081743
    0.085162231         0.085162231
     0.08524271          0.08524271
     0.08532318          0.08532318
    0.085403641         0.085403641
    0.085484093         0.085484093
    0.085564535         0.085564535
    0.085644969         0.085644969
    0.085725394         0.085725394
    0.085805809         0.085805809
    0.085886216         0.085886216
    0.085966614         0.085966614
    0.086047002         0.086047002
    0.086127382         0.086127382
    0.086207752         0.086207752
    0.086288113         0.086288113
    0.086368466         0.086368466
    0.086448809         0.086448809
    0.086529144         0.086529144
    0.086609469         0.086609469
    0.086689785         0.086689785
    0.086770092         0.086770092
     0.08685039          0.08685039
     0.08693068          0.08693068
     0.08701096          0.08701096
    0.087091231         0.087091231
    0.087171493         0.087171493
    0.087251746         0.087251746
     0.08733199          0.08733199
    0.087412225         0.087412225
    0.087492451         0.087492451
    0.087572668         0.087572668
    0.087652876         0.087652876
    0.087733075         0.087733075
    0.087813265         0.087813265
    0.087893445         0.087893445
    0.087973617         0.087973617
     0.08805378          0.08805378
    0.088133934         0.088133934
    0.088214079         0.088214079
    0.088294215         0.088294215
    0.088374341         0.088374341
    0.088454459         0.088454459
    0.088534568         0.088534568
    0.088614668         0.088614668
    0.088694758         0.088694758
     0.08877484          0.08877484
    0.088854913         0.088854913
    0.088934977         0.088934977
    0.089015031         0.089015031
    0.089095077         0.089095077
    0.089175114         0.089175114
    0.089255141         0.089255141
     0.08933516          0.08933516
     0.08941517          0.08941517
     0.08949517          0.08949517
